game_datetime,home_team,away_team,home_team_score,away_team_score,home_team_win_pct,away_team_win_pct,home_team_points_per_game,away_team_points_per_game,home_team_points_allowed_per_game,away_team_points_allowed_per_game,stadium_latitude,stadium_longitude
2019-12-01,IND,TEN,17.0,31.0,0.8,0.6,29.6,28.4,22.6,23.9,0,0
2019-12-01,JAX,TB,11.0,28.0,1.0,1.0,40.0,31.0,26.0,17.0,0,0
2019-12-01,MIA,PHI,37.0,31.0,0.5555555555555556,0.7142857142857143,21.555555555555557,19.142857142857142,21.444444444444443,17.428571428571427,0,0
2019-12-01,NYG,GB,13.0,31.0,1.0,0.9090909090909091,22.5,30.181818181818183,15.0,14.818181818181818,0,0
2019-12-01,PIT,CLE,20.0,13.0,1.0,1.0,32.0,31.75,18.0,14.25,0,0
2019-12-01,ARI,LA,7.0,34.0,0.9,1.0,29.5,29.4,15.5,12.8,0,0
2019-12-01,DEN,LAC,23.0,20.0,0.7142857142857143,0.6363636363636364,28.857142857142858,28.0,21.428571428571427,23.272727272727273,0,0
2019-12-01,KC,OAK,40.0,9.0,0.6363636363636364,1.0,28.0,34.0,23.272727272727273,18.0,0,0
2019-12-01,HOU,NE,28.0,22.0,0.6666666666666666,0.75,28.666666666666668,19.0,24.0,15.75,0,0
2019-12-02,SEA,MIN,37.0,30.0,0.8888888888888888,0.6666666666666666,28.77777777777778,28.0,14.333333333333334,22.666666666666668,0,0
2019-12-05,CHI,DAL,31.0,24.0,0.6,0.75,24.3,21.416666666666668,19.8,15.666666666666666,0,0
2019-12-08,ATL,CAR,40.0,20.0,0.6666666666666666,1.0,23.333333333333332,29.571428571428573,23.666666666666668,11.0,0,0
2019-12-08,BUF,BAL,17.0,24.0,0.75,0.8333333333333334,21.416666666666668,29.083333333333332,15.666666666666666,15.25,0,0
2019-12-08,CLE,CIN,27.0,19.0,1.0,1.0,31.75,36.0,14.25,17.0,0,0
2019-12-08,GB,WAS,20.0,15.0,0.9090909090909091,1.0,30.181818181818183,26.0,14.818181818181818,10.666666666666666,0,0
2019-12-08,HOU,DEN,24.0,38.0,0.6666666666666666,0.7142857142857143,28.666666666666668,28.857142857142858,24.0,21.428571428571427,0,0
2019-12-08,MIN,DET,20.0,7.0,0.6666666666666666,1.0,28.0,33.75,22.666666666666668,23.5,0,0
2019-12-08,NO,SF,46.0,48.0,0.25,0.8333333333333334,21.666666666666668,29.083333333333332,26.916666666666668,15.25,0,0
2019-12-08,NYJ,MIA,22.0,21.0,1.0,0.5555555555555556,17.0,21.555555555555557,16.0,21.444444444444443,0,0
2019-12-08,TB,IND,38.0,35.0,1.0,0.8,31.0,29.6,17.0,22.6,0,0
2019-12-08,JAX,LAC,10.0,45.0,1.0,0.6363636363636364,40.0,28.0,26.0,23.272727272727273,0,0
2019-12-08,ARI,PIT,17.0,23.0,0.9,1.0,29.5,32.0,15.5,18.0,0,0
2019-12-08,NE,KC,16.0,23.0,0.75,0.6666666666666666,19.0,29.0,15.75,22.083333333333332,0,0
