game_id,season,week,game_date,venue_name,venue_indoor,venue_latitude,venue_longitude,home_team,home_score,home_record,home_win_percentage,away_team,away_score,away_record,away_win_percentage,away_firstdowns,away_firstdownspassing,away_firstdownsrushing,away_firstdownspenalty,away_thirddowneff,away_fourthdowneff,away_totaloffensiveplays,away_totalyards,away_yardsperplay,away_totaldrives,away_netpassingyards,away_completionattempts,away_yardsperpass,away_interceptions,away_sacksyardslost,away_rushingyards,away_rushingattempts,away_yardsperrushattempt,away_redzoneattempts,away_totalpenaltiesyards,away_turnovers,away_fumbleslost,away_defensivetouchdowns,away_possessiontime,spread,over_under,home_moneyline,away_moneyline,away_totalpointspergame,away_yardspergame,away_passingyardspergame,away_rushingyardspergame,away_totalpointspergameallowed,away_yardspergameallowed,away_passingyardspergameallowed,away_rushingyardspergameallowed
401127927,2019,5,2019-10-04T00:20Z,Lumen Field,,,,SEA,30,4-1,0.0,LAR,29,3-2,0.0,25,12,10,3,3-10,1-1,67,429,6.4,13,262,17/23,10.9,0,1-6,167,43,3.9,3-4,5-45,1,1,0,35:18,,,,,,,,,,,,
401127958,2019,5,2019-10-06T17:00Z,Paycor Stadium,,,,CIN,23,0-5,0.0,ARI,26,1-3-1,0.0,21,12,6,3,5-12,0-1,62,370,6.0,9,262,27/38,6.7,0,1-0,108,23,4.7,1-3,7-60,0,0,0,28:57,,,,,,,,,,,,
401128014,2019,5,2019-10-06T17:00Z,Nissan Stadium,,,,TEN,7,2-3,0.0,BUF,14,4-1,0.0,14,5,5,4,4-14,0-0,54,252,4.7,11,150,13/22,5.6,0,5-33,102,27,3.8,1-3,8-60,0,0,0,28:48,,,,,,,,,,,,
401128001,2019,5,2019-10-06T17:00Z,Tottenham Hotspur Stadium,,,,OAK,24,3-2,0.0,CHI,21,3-2,0.0,25,10,13,2,6-12,1-1,71,398,5.6,11,229,25/32,7.2,0,0-0,169,39,4.3,3-5,6-69,2,2,0,34:43,,,,,,,,,,,,
401127965,2019,5,2019-10-06T17:00Z,Caesars Superdome,,,,NO,31,4-1,0.0,TB,24,2-3,0.0,25,18,5,2,8-15,1-2,67,457,6.8,11,345,28/36,9.6,1,0-0,112,31,3.6,3-4,6-40,1,0,0,33:27,,,,,,,,,,,,
401127971,2019,5,2019-10-06T17:00Z,MetLife Stadium,,,,NYG,10,2-3,0.0,MIN,28,3-2,0.0,18,8,5,5,8-16,0-3,62,211,3.4,9,147,21/38,3.5,1,4-35,64,20,3.2,0-2,5-45,1,0,0,27:20,,,,,,,,,,,,
401128006,2019,5,2019-10-06T17:00Z,Lincoln Financial Field,,,,PHI,31,3-2,0.0,NYJ,6,0-4,0.0,17,9,5,3,5-13,0-2,59,265,4.5,11,181,17/29,6.0,0,1-8,84,29,2.9,2-3,9-76,1,1,4,30:52,,,,,,,,,,,,
401128011,2019,5,2019-10-06T17:00Z,Acrisure Stadium,,,,PIT,23,1-4,0.0,BAL,26,3-2,0.0,18,9,3,6,3-9,0-0,51,269,5.3,12,192,21/31,6.0,1,1-11,77,19,4.1,1-4,11-76,2,1,0,25:34,,,,,,,,,,,,
401127864,2019,5,2019-10-06T17:00Z,Northwest Stadium,,,,WSH,7,0-5,0.0,NE,33,5-0,0.0,11,5,5,1,1-11,0-0,53,223,4.2,15,78,18/27,2.4,1,6-44,145,20,7.3,0-0,6-72,2,1,0,28:07,,,,,,,,,,,,
401127932,2019,5,2019-10-06T17:00Z,Bank of America Stadium,,,,CAR,34,3-2,0.0,JAX,27,2-3,0.0,22,10,9,3,4-12,0-1,61,445,7.3,12,160,17/31,4.7,0,3-21,285,27,10.6,2-3,8-70,0,0,2,27:36,,,,,,,,,,,,
