date,home_team,away_team,home_score,away_score,stadium,total_yards,rush_attempts,pass_attempts,completions,first_downs,third_down_attempts,third_down_conv,fourth_down_attempts,fourth_down_conv,turnovers,penalty_yards
2019-10-27,KC,GB,24.0,31.0,Arrowhead Stadium,711.0,46.0,76.0,47.0,42.0,24.0,14.0,0.0,0.0,1.0,55.0
2019-10-28,PIT,MIA,27.0,14.0,Heinz Field,624.0,48.0,76.0,41.0,37.0,21.0,9.0,3.0,0.0,7.0,115.0
2019-10-31,ARI,SF,25.0,28.0,State Farm Stadium,770.0,54.0,66.0,45.0,40.0,25.0,13.0,1.0,1.0,0.0,140.0
2019-11-03,JAX,HOU,3.0,26.0,Wembley Stadium,766.0,49.0,80.0,49.0,42.0,22.0,8.0,3.0,1.0,6.0,94.0
2019-11-03,BUF,WAS,24.0,9.0,New Era Field,511.0,62.0,48.0,29.0,30.0,23.0,8.0,3.0,1.0,3.0,35.0
2019-11-03,CAR,TEN,30.0,20.0,Bank of America Stadium,801.0,54.0,79.0,44.0,46.0,24.0,8.0,3.0,3.0,4.0,176.0
2019-11-03,KC,MIN,26.0,23.0,Arrowhead Stadium,685.0,45.0,79.0,44.0,34.0,28.0,9.0,2.0,2.0,4.0,50.0
2019-11-03,MIA,NYJ,26.0,18.0,Hard Rock Stadium,637.0,45.0,82.0,51.0,39.0,26.0,11.0,2.0,2.0,2.0,156.0
2019-11-03,PHI,CHI,22.0,14.0,Lincoln Financial Field,537.0,53.0,67.0,36.0,34.0,28.0,10.0,1.0,1.0,2.0,145.0
2019-11-03,PIT,IND,26.0,24.0,Heinz Field,601.0,54.0,73.0,47.0,38.0,25.0,9.0,4.0,2.0,8.0,159.0
2019-11-03,OAK,DET,31.0,24.0,Ring Central Coliseum,,,,,,,,,,,
2019-11-03,SEA,TB,40.0,34.0,CenturyLink Field,912.0,48.0,93.0,58.0,60.0,22.0,8.0,1.0,1.0,3.0,127.0
2019-11-03,DEN,CLE,24.0,19.0,Empower Field at Mile High,653.0,49.0,67.0,39.0,34.0,24.0,9.0,2.0,0.0,1.0,95.0
2019-11-03,LAC,GB,26.0,11.0,StubHub Center,628.0,50.0,68.0,44.0,37.0,21.0,7.0,2.0,1.0,0.0,90.0
2019-11-03,BAL,NE,37.0,20.0,M&T Bank Stadium,714.0,58.0,72.0,47.0,48.0,23.0,10.0,1.0,1.0,5.0,82.0
2019-11-04,NYG,DAL,18.0,37.0,MetLife Stadium,700.0,52.0,81.0,48.0,41.0,27.0,9.0,1.0,1.0,6.0,175.0
2019-11-07,OAK,LAC,26.0,24.0,Ring Central Coliseum,,,,,,,,,,,
2019-11-10,CHI,DET,20.0,13.0,Soldier Field,583.0,51.0,76.0,43.0,33.0,30.0,9.0,3.0,1.0,2.0,133.0
